item,ave_score,ave_discounted_score
1,4.002560025627389,3.9595600256273844
3,3.4712357729300134,3.4608357729300185
6,4.105738149961634,4.085338149961639
47,4.082614111201307,4.0420141112013
50,4.331701562804278,4.290901562804277
70,3.7016098370923447,3.6906098370923432
101,3.937627464119321,3.933027464119317
110,4.075904600819751,4.028504600819753
151,3.7372900279137604,3.7284900279137645
157,3.265407348640664,3.263207348640661
163,3.744347874406612,3.731147874406611
216,3.5438912985988273,3.5340912985988227
223,4.0300838424931875,4.009283842493194
231,3.2328438335212697,3.206243833521262
235,3.853231880513815,3.839231880513813
260,4.223616962073294,4.173416962073283
296,4.0388886367125805,3.977488636712575
316,3.5298545810776862,3.501854581077691
333,3.9471410760137497,3.937141076013749
349,3.7694475466186574,3.7474475466186594
356,3.462408863223156,3.3966088632231575
362,3.726045677887582,3.719245677887583
367,3.353831484487351,3.3224314844873537
423,3.2686764821097785,3.266676482109781
441,4.080571066490345,4.072171066490338
457,4.115610244195183,4.077610244195189
480,3.7937330403592644,3.746133040359262
500,3.5599406660619413,3.5311406660619373
527,4.276333767255116,4.232333767255112
543,3.5326183079230016,3.5244183079229976
552,3.4699266750218696,3.457726675021872
553,3.982085101467521,3.9690851014675164
590,3.9687935156306504,3.9359935156306523
592,3.5588922196598336,3.5210922196598315
593,4.0852073527129145,4.029407352712917
596,3.651992988428086,3.6399929884280877
608,4.247034999313789,4.210834999313786
648,3.6831216382194225,3.650721638219424
661,3.6440351781747826,3.634235178174779
673,2.974129124697089,2.9635291246970947
733,3.807644167171245,3.783444167171251
736,3.4949834222230316,3.4703834222230303
780,3.567117883673562,3.5267178836735615
804,3.5475469276912976,3.5459469276913027
919,4.047552921895588,4.029152921895592
923,4.199517679003436,4.185717679003441
940,4.01263975848488,4.011039758484878
943,3.953090360540523,3.95169036054052
954,4.160357342108577,4.156757342108579
1009,3.4145929877144203,3.4127929877144174
1023,3.785997297199991,3.7833972971999876
1024,3.7929717978044217,3.7917717978044254
1025,3.770773696684729,3.7657736966847297
1029,3.601503773919167,3.594503773919169
1030,3.1502330096884954,3.147233009688497
1031,3.687412899471427,3.682612899471431
1032,3.591547988779664,3.5835479887796633
1042,3.4961501670316557,3.4877501670316478
1049,3.682428298823312,3.6782282988233144
1060,3.8707537468607733,3.8635537468607732
1073,4.023050575057654,3.9992505750576695
1080,4.087889896041785,4.070089896041781
1089,4.34642024035002,4.320220240350012
1090,4.139996120746039,4.1273961207460435
1092,3.4175287855750898,3.408128785575086
1097,3.9279581604638762,3.9035581604638754
1127,3.6761237664043835,3.6637237664043822
1136,4.312931171074569,4.285731171074575
1196,4.290522477561769,4.248322477561771
1197,4.369770381830235,4.3413703818302425
1198,4.3099211565973246,4.269921156597334
1206,4.159867455135289,4.135867455135284
1208,4.370918412494989,4.349518412494985
1210,4.239810575516634,4.200610575516624
1213,4.3916569144557,4.366456914455704
1214,4.113640436807241,4.084440436807245
1219,4.197959138467013,4.181359138467017
1220,3.98189593384946,3.965095933849458
1222,4.255554981563013,4.235154981563017
1224,4.096223428801621,4.092423428801633
1226,3.703564096608673,3.7023640966086786
1240,4.05252009869582,4.026320098695834
1256,3.9526077619821134,3.9480077619821126
1258,4.241946327285881,4.220146327285882
1265,4.089081032487017,4.060481032487016
1270,4.1717921369460305,4.137592136946033
1275,3.9146624403973562,3.9050624403973555
1278,4.159139230087324,4.145339230087333
1282,3.9538569581336,3.943256958133606
1291,4.1945265255413675,4.1665265255413715
1298,3.9197303499144827,3.9151303499144783
1348,3.72602354418275,3.7228235441827495
